,チーム名,Aレート,Hレート,BestPerf
utprg,benchmark,349,418,418
milkcoffee,山走暁飛,2057,1733,1733
akane831,輝かしい未来を目指す不屈の戦い人,916,1086,1086
otsuneko,>euphonic,892,1483,1483
nephrologist,benchmark,1655,1325,1325
bio4eta,霧ヶ峰めっちゃ良い買い物しました！！！！,1325,1075,1075
keizin,輝かしい未来を目指す不屈の戦い人,664,217,217
nok0,山走暁飛,2356,1822,1822
yuuki_n,逆襲のバベルクライマーズ,1587,1575,1575
jaku,輝かしい未来を目指す不屈の戦い人,1217,1370,1370
tnodino,霧ヶ峰めっちゃ良い買い物しました！！！！,1266,536,536
ainem,運営,904,1333,1333
burioden,AHCやってみ隊,444,0,0
r3yohei,benchmark,711,1141,1141
hal0taso,霧ヶ峰めっちゃ良い買い物しました！！！！,850,547,547
keroru,輝かしい未来を目指す不屈の戦い人,1607,1320,1471
motoshira,逆襲のバベルクライマーズ,1425,842,842
Gex777,>euphonic,973,159,159
cplusplusonly,>euphonic,1830,113,113
highjump,山走暁飛,1631,2385,2385
fujikawahiroaki,逆襲のバベルクライマーズ,560,1147,1147
kokatsu,逆襲のバベルクライマーズ,1286,921,921
brthyyjp,benchmark,1564,1001,1001
zatt,霧ヶ峰めっちゃ良い買い物しました！！！！,1217,1855,1855
hiraku,>euphonic,1177,1295,1295
8wings,山走暁飛,1703,1492,1492
gunmaneko,AHCやってみ隊,1171,0,0
jamuojisan,AHCやってみ隊,879,0,0
michirakara,霧ヶ峰めっちゃ良い買い物しました！！！！,855,782,782
uni_kakurenbo,>euphonic,1120,1477,1477
