,チーム名,Aレート,Hレート,BestPerf
netobas,家買え,851,0,0
take911,a･Cyan,914,1369,1369
akane831,家買え,903,998,998
matsu7874,松竹梅,1496,1495,1553
hiraku,ブレインバクハーズ,1202,1140,1140
nakashiii,家買え,921,714,714
michirakara,家買え,664,476,476
gengar_094,ブレインバクハーズ,950,1344,1344
ainem,運営,896,1303,1303
keroru,松竹梅,1607,1271,1471
tnodino,ブレインバクハーズ,1266,502,502
r3yohei,バベルクライマーズ,743,1130,1130
negibose2020,ブレインバクハーズ,865,1316,1316
Gex777,家買え,932,0,0
kaede2020,a･Cyan,661,1343,1343
jabee,a･Cyan,1393,658,658
meowmeowcats,バベルクライマーズ,832,175,175
fujikawahiroaki,バベルクライマーズ,473,998,998
jaku,a･Cyan,1210,1283,1283
takekinmkk,松竹梅,1854,1233,1233
ponjuice,松竹梅,1765,1883,1883
