,チーム名,Aレート,Hレート,BestPerf
yamake,Hypertext Assasins,2066,1363,1581
motoshira,Homy Jabirus,1435,1008,1008
cplusplusonly,Hypertext Assasins,1730,311,311
yas_yasyu,へびつかい,963,724,724
edomondo,ネバーギブアップの掟,786,668,668
shu8Cream,Homy Jabirus,1249,1367,1367
hotpepsi,Hypertext Assasins,1630,1549,1608
kokatsu,チョコ零個焼きなます！,1281,921,921
donphan,へびつかい,1149,0,0
jaku,Homy Jabirus,1238,1419,1419
2bit,TheCodeGang5,1107,688,688
ssaattoo,チョコ零個焼きなます！,1446,1913,1913
ainem,運営,904,1348,1348
michirakara,へびつかい,954,799,799
yu_w,Homy Jabirus,1271,1329,1329
tardigrade,ネバーギブアップの掟,1617,1654,1654
r3yohei,チョコ零個焼きなます！,719,1200,1200
june193,ネバーギブアップの掟,1036,1140,1140
meowmeowcats,TheCodeGang5,809,302,302
tnodino,へびつかい,1266,563,563
brthyyjp,Homy Jabirus,1563,1148,1148
gootara,へびつかい,1115,231,905
midnq,へびつかい,844,523,523
ntk_ta01,チョコ零個焼きなます！,1257,1658,1658
platinum,Hypertext Assasins,1699,1660,1660
keroru,ネバーギブアップの掟,1607,1337,1471
highjump,ネバーギブアップの掟,1611,2428,2428
ococonomy1,チョコ零個焼きなます！,1553,1229,1229
jamuojisan,ネバーギブアップの掟,879,574,574
utprg,TheCodeGang5,437,549,549
tmikada,TheCodeGang5,505,441,441
