,チーム名,Aレート,Hレート,BestPerf
jabee,三尺秋水,1359,1035,1035
keroru,Moréchond,1607,1320,1471
rinrion,三尺秋水,471,1266,1266
kuruton456,Moréchond,1604,1494,1613
kokatsu,ひよこ,1258,921,921
kaede2020,Moréchond,676,1351,1351
michirakara,Moréchond,800,782,782
yas_yasyu,Moréchond,962,643,643
hiraku,焼きにゃまし隊,1235,1295,1295
nephrologist,ひよこ,1682,1325,1325
meowmeowcats,焼きにゃまし隊,819,302,302
gabriel55_,三尺秋水,1011,849,849
G4NP0N,俺はタスマニア！お前は何マニア？,1492,1651,1651
bio4eta,ひよこ,1325,1075,1075
Gex777,三尺秋水,906,159,159
a9ua1i0n,a1nem,1031,1445,1445
ainem,運営,887,1333,1333
ococonomy1,a1nem,1308,1162,1162
amylase,俺はタスマニア！お前は何マニア？,2305,988,988
uni_kakurenbo,a1nem,1025,1477,1477
bk_cocoa,ひよこ,1167,85,85
fujikawahiroaki,三尺秋水,523,1147,1147
akane831,焼きにゃまし隊,916,1086,1086
tardigrade,俺はタスマニア！お前は何マニア？,1463,1653,1653
r3yohei,焼きにゃまし隊,734,1141,1141
takekinmkk,俺はタスマニア！お前は何マニア？,1814,1450,1450
